Relatório de Estoque de Garantias;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Emissão: 11/05/2021 12:15;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Dívida: Interna - Externa;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar mutuário(s) por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Credor(es): Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar operação de crédito por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Cálculo: Apropriação;;;;;;;;;;;;;;;;;;;;;;;;;
Posição: Estatístico;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Referência: 30/04/2021;;;;;;;;;;;;;;;;;;;;;;;;;
Detalhamento: Por tranche;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Nome do Contrato;CADIP/ROF;Inscrição Genérica;Tipo de Dívida;Mutuário;Tipo Mutuário;UF;Região;Agrupador de Tipo Mutuário;CAPAG;Credor;Classificação de Credor;Contragarantia;Moeda;Indexador;Tipo de Indexador de Juros;Indexador de Juros;Saldo Principal (Moeda de Origem);Saldo Juros (Moeda de Origem);Saldo Estoque (Moeda de Origem);Saldo Principal (USD);Saldo Juros (USD);Saldo Estoque (USD);Saldo Principal (BRL);Saldo Juros (BRL);Saldo Estoque (BRL)
BB - 2012810;2020003439;12456;Interna;Roraima;Estados;RR;Norte;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;259.593.377,24;601.322,09;260.194.699,33;48.040.820,42;111.281,75;48.152.102,18;259.593.377,24;601.322,09;260.194.699,33
BB - 2012820;2013000017;12438;Interna;Rondônia;Estados;RO;Norte;Garantias a Estados, Municípios e Entidades Controladas;A;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;257.419.517,96;596.286,56;258.015.804,52;47.638.522,09;110.349,87;47.748.871,96;257.419.517,96;596.286,56;258.015.804,52
BB - 2013836;2013000109;12443;Interna;Rio Grande do Norte;Estados;RN;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;232.600.267,96;538.795,25;233.139.063,21;43.045.426,75;99.710,42;43.145.137,17;232.600.267,96;538.795,25;233.139.063,21
BB - 2013850;2013000326;12431;Interna;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 3,73%;5.401.845.066,14;101.740.804,12;5.503.585.870,26;999.675.228,76;18.828.337,43;1.018.503.566,19;5.401.845.066,14;101.740.804,12;5.503.585.870,26
BB - 2013877;2020003665;12470;Interna;Santa Catarina;Estados;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 3,75%;1.679.902.105,88;18.842.575,77;1.698.744.681,65;310.885.725,42;3.487.041,19;314.372.766,61;1.679.902.105,88;18.842.575,77;1.698.744.681,65
BB - 2013879;2020003708;12453;Interna;Piauí;Estados;PI;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 4,5572%;918.522.224,09;13.965.097,12;932.487.321,21;169.983.385,91;2.584.406,16;172.567.792,07;918.522.224,09;13.965.097,12;932.487.321,21
BB - 2013887;2020003697;12447;Interna;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 3,73%;4.211.087.035,51;25.928.980,40;4.237.016.015,91;779.311.391,57;4.798.464,06;784.109.855,64;4.211.087.035,51;25.928.980,40;4.237.016.015,91
BB - 2013889;2020003682;12446;Interna;Goiás;Estados;GO;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 4,051%;2.832.623.241,86;27.105.259,57;2.859.728.501,43;524.210.386,01;5.016.148,41;529.226.534,43;2.832.623.241,86;27.105.259,57;2.859.728.501,43
BB - 2013891;2020003683;12450;Interna;Tocantins;Estados;TO;Norte;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 4,31%;677.802.402,70;10.456.774,52;688.259.177,22;125.435.339,90;1.935.149,63;127.370.489,53;677.802.402,70;10.456.774,52;688.259.177,22
BB - 2013898;2013000543;12457;Interna;Minas Gerais;Estados;MG;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 3,73%;2.296.299.680,17;23.862.819,22;2.320.162.499,39;424.957.376,60;4.416.096,53;429.373.473,13;2.296.299.680,17;23.862.819,22;2.320.162.499,39
