;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa
Agrupador;Total (R$);Total (%);IPCA (R$);IPCA (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Cambial (R$);Cambial (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);220 - USD (R$);220 - USD (%);IPCA (R$);IPCA (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);USD (R$);USD (%);EUR (R$);EUR (%);JPY (R$);JPY (%);Demais (R$);Demais (%)
Fortaleza;1.410.934.541,22;0,55%;0;0,00%;0;0,00%;52.481.335,25;0,02%;127.165.118,59;0,05%;1.031.288.087,38;0,40%;200.000.000,00;0,08%;379.646.453,84;0,35%;0;0,00%;0;0,00%;0;0,00%;52.481.335,25;0,05%;127.165.118,59;0,12%;200.000.000,00;0,18%;1.031.288.087,38;0,70%;1.031.288.087,38;0,70%;0;0,00%;0;0,00%;0;0,00%
Belo Horizonte;1.356.800.661,12;0,53%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.242.674.288,76;0,49%;114.126.372,36;0,04%;114.126.372,36;0,10%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;114.126.372,36;0,10%;1.242.674.288,76;0,85%;1.242.674.288,76;0,85%;0;0,00%;0;0,00%;0;0,00%
São Bernardo do Campo;1.233.228.943,19;0,48%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.233.228.943,19;0,48%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.233.228.943,19;0,84%;1.233.228.943,19;0,84%;0;0,00%;0;0,00%;0;0,00%
São Paulo;741.531.440,40;0,29%;0;0,00%;0;0,00%;0;0,00%;169.457,29;0,00%;339.070.316,46;0,13%;402.291.666,65;0,16%;402.461.123,94;0,37%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;169.457,29;0,00%;402.291.666,65;0,37%;339.070.316,46;0,23%;339.070.316,46;0,23%;0;0,00%;0;0,00%;0;0,00%
Porto Alegre;547.170.048,36;0,21%;0;0,00%;0;0,00%;137.865.151,48;0,05%;0;0,00%;409.304.896,88;0,16%;0;0,00%;137.865.151,48;0,13%;0;0,00%;0;0,00%;0;0,00%;137.865.151,48;0,13%;0;0,00%;0;0,00%;409.304.896,88;0,28%;409.304.896,88;0,28%;0;0,00%;0;0,00%;0;0,00%
Mauá;531.909.694,90;0,21%;0;0,00%;0;0,00%;0;0,00%;531.909.694,90;0,21%;0;0,00%;0;0,00%;531.909.694,90;0,49%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;531.909.694,90;0,49%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Recife;435.821.449,67;0,17%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;435.821.449,67;0,17%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;435.821.449,67;0,30%;435.821.449,67;0,30%;0;0,00%;0;0,00%;0;0,00%
Curitiba;395.175.613,38;0,15%;0;0,00%;0;0,00%;11.117.801,59;0,00%;0;0,00%;384.057.811,79;0,15%;0;0,00%;11.117.801,59;0,01%;0;0,00%;0;0,00%;0;0,00%;11.117.801,59;0,01%;0;0,00%;0;0,00%;384.057.811,79;0,26%;158.305.945,69;0,11%;131.022.256,66;0,09%;94.729.609,45;0,06%;0;0,00%
Salvador;332.026.612,48;0,13%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;319.026.612,48;0,12%;13.000.000,00;0,01%;13.000.000,00;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;13.000.000,00;0,01%;319.026.612,48;0,22%;319.026.612,48;0,22%;0;0,00%;0;0,00%;0;0,00%
Goiânia;307.917.537,46;0,12%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;177.917.537,46;0,07%;130.000.000,00;0,05%;130.000.000,00;0,12%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;130.000.000,00;0,12%;177.917.537,46;0,12%;177.917.537,46;0,12%;0;0,00%;0;0,00%;0;0,00%
São José dos Campos;285.124.440,37;0,11%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;285.124.440,37;0,11%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;285.124.440,37;0,19%;285.124.440,37;0,19%;0;0,00%;0;0,00%;0;0,00%
Niterói;264.987.350,32;0,10%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;264.987.350,32;0,10%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;264.987.350,32;0,18%;264.987.350,32;0,18%;0;0,00%;0;0,00%;0;0,00%
Teresina;223.145.505,85;0,09%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;170.960.643,98;0,07%;52.184.861,87;0,02%;52.184.861,87;0,05%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;52.184.861,87;0,05%;170.960.643,98;0,12%;170.960.643,98;0,12%;0;0,00%;0;0,00%;0;0,00%
Belém;211.646.040,33;0,08%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;211.646.040,33;0,08%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;211.646.040,33;0,14%;211.646.040,33;0,14%;0;0,00%;0;0,00%;0;0,00%
Natal;201.019.445,59;0,08%;0;0,00%;0;0,00%;0;0,00%;201.019.445,59;0,08%;0;0,00%;0;0,00%;201.019.445,59;0,18%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;201.019.445,59;0,18%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Florianópolis;192.884.387,36;0,08%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;192.884.387,36;0,08%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;192.884.387,36;0,13%;192.884.387,36;0,13%;0;0,00%;0;0,00%;0;0,00%
Blumenau;191.691.326,11;0,07%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;191.691.326,11;0,07%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;191.691.326,11;0,13%;191.691.326,11;0,13%;0;0,00%;0;0,00%;0;0,00%
Taubaté;188.260.196,53;0,07%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;188.260.196,53;0,07%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;188.260.196,53;0,13%;188.260.196,53;0,13%;0;0,00%;0;0,00%;0;0,00%
Campo Grande;165.712.550,13;0,06%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;165.712.550,13;0,06%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;165.712.550,13;0,11%;165.712.550,13;0,11%;0;0,00%;0;0,00%;0;0,00%
Canoas;145.553.055,51;0,06%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;145.553.055,51;0,06%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;145.553.055,51;0,10%;145.553.055,51;0,10%;0;0,00%;0;0,00%;0;0,00%
Joinville;113.349.243,87;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;113.349.243,87;0,04%;0;0%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;113.349.243,87;0,08%;113.349.243,87;0,08%;0;0,00%;0;0,00%;0;0,00%
Cascavel;110.554.737,39;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;110.554.737,39;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;110.554.737,39;0,08%;110.554.737,39;0,08%;0;0,00%;0;0,00%;0;0,00%
Aparecida de Goiânia;105.805.875,08;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;105.805.875,08;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;105.805.875,08;0,07%;105.805.875,08;0,07%;0;0,00%;0;0,00%;0;0,00%
São Luís;105.661.959,66;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;105.661.959,66;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;105.661.959,66;0,07%;105.661.959,66;0,07%;0;0,00%;0;0,00%;0;0,00%
