;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa
Agrupador;Total (R$);Total (%);IPCA (R$);IPCA (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Cambial (R$);Cambial (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);220 - USD (R$);220 - USD (%);IPCA (R$);IPCA (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);USD (R$);USD (%);EUR (R$);EUR (%);JPY (R$);JPY (%);Demais (R$);Demais (%)
Municípios;28.499.957.966,58;9,35%;262.981.779,99;0,09%;0;0,00%;2.002.793.501,36;0,66%;1.257.890.760,05;0,41%;21.064.241.652,70;6,91%;3.912.050.272,48;1,28%;7.435.716.313,88;6,52%;0;0,00%;262.981.779,99;0,23%;0;0,00%;2.002.793.501,36;1,76%;1.257.890.760,05;1,10%;3.912.050.272,48;3,43%;21.064.241.652,70;11,04%;20.735.087.311,00;10,87%;245.117.845,09;0,13%;84.036.496,61;0,04%;0;0,00%
Rio de Janeiro;7.710.108.498,89;2,53%;262.981.779,99;0,09%;0;0,00%;1.820.043.022,64;0,60%;0;0,00%;5.627.083.696,26;1,85%;0;0,00%;2.083.024.802,63;1,83%;0;0,00%;262.981.779,99;0,23%;0;0,00%;1.820.043.022,64;1,60%;0;0,00%;0;0,00%;5.627.083.696,26;2,95%;5.627.083.696,26;2,95%;0;0,00%;0;0,00%;0;0,00%
Manaus;2.238.527.985,23;0,73%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.281.011.102,42;0,42%;957.516.882,81;0,31%;957.516.882,81;0,84%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;957.516.882,81;0,84%;1.281.011.102,42;0,67%;1.281.011.102,42;0,67%;0;0,00%;0;0,00%;0;0,00%
Fortaleza;2.173.599.819,23;0,71%;0;0,00%;0;0,00%;46.601.745,19;0,02%;140.565.793,54;0,05%;1.800.225.383,94;0,59%;186.206.896,56;0,06%;373.374.435,29;0,33%;0;0,00%;0;0,00%;0;0,00%;46.601.745,19;0,04%;140.565.793,54;0,12%;186.206.896,56;0,16%;1.800.225.383,94;0,94%;1.800.225.383,94;0,94%;0;0,00%;0;0,00%;0;0,00%
São Bernardo do Campo;1.877.785.811,58;0,62%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.738.167.894,33;0,57%;139.617.917,25;0,05%;139.617.917,25;0,12%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;139.617.917,25;0,12%;1.738.167.894,33;0,91%;1.738.167.894,33;0,91%;0;0,00%;0;0,00%;0;0,00%
Belo Horizonte;1.807.784.199,57;0,59%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.621.066.643,44;0,53%;186.717.556,13;0,06%;186.717.556,13;0,16%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;186.717.556,13;0,16%;1.621.066.643,44;0,85%;1.621.066.643,44;0,85%;0;0,00%;0;0,00%;0;0,00%
São Paulo;1.112.715.804,96;0,37%;0;0,00%;0;0,00%;0;0,00%;1.271.250,54;0,00%;462.873.125,97;0,15%;648.571.428,45;0,21%;649.842.678,99;0,57%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.271.250,54;0,00%;648.571.428,45;0,57%;462.873.125,97;0,24%;462.873.125,97;0,24%;0;0,00%;0;0,00%;0;0,00%
Salvador;820.931.251,96;0,27%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;770.995.316,50;0,25%;49.935.935,46;0,02%;49.935.935,46;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;49.935.935,46;0,04%;770.995.316,50;0,40%;770.995.316,50;0,40%;0;0,00%;0;0,00%;0;0,00%
Porto Alegre;683.767.589,18;0,22%;0;0,00%;0;0,00%;116.466.457,88;0,04%;0;0,00%;567.301.131,30;0,19%;0;0,00%;116.466.457,88;0,10%;0;0,00%;0;0,00%;0;0,00%;116.466.457,88;0,10%;0;0,00%;0;0,00%;567.301.131,30;0,30%;567.301.131,30;0,30%;0;0,00%;0;0,00%;0;0,00%
Goiânia;644.651.214,61;0,21%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;213.843.880,39;0,07%;430.807.334,22;0,14%;430.807.334,22;0,38%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;430.807.334,22;0,38%;213.843.880,39;0,11%;213.843.880,39;0,11%;0;0,00%;0;0,00%;0;0,00%
Recife;599.635.173,75;0,20%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;599.635.173,75;0,20%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;599.635.173,75;0,31%;599.635.173,75;0,31%;0;0,00%;0;0,00%;0;0,00%
Curitiba;556.611.508,82;0,18%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;473.673.965,44;0,16%;82.937.543,38;0,03%;82.937.543,38;0,07%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;82.937.543,38;0,07%;473.673.965,44;0,25%;191.688.598,29;0,10%;197.948.870,54;0,10%;84.036.496,61;0,04%;0;0,00%
Mauá;553.386.364,04;0,18%;0;0,00%;0;0,00%;0;0,00%;553.386.364,04;0,18%;0;0,00%;0;0,00%;553.386.364,04;0,49%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;553.386.364,04;0,49%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Niterói;418.152.980,67;0,14%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;418.152.980,67;0,14%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;418.152.980,67;0,22%;418.152.980,67;0,22%;0;0,00%;0;0,00%;0;0,00%
São José dos Campos;332.507.526,52;0,11%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;332.507.526,52;0,11%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;332.507.526,52;0,17%;332.507.526,52;0,17%;0;0,00%;0;0,00%;0;0,00%
Teresina;331.159.478,26;0,11%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;248.368.753,93;0,08%;82.790.724,33;0,03%;82.790.724,33;0,07%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;82.790.724,33;0,07%;248.368.753,93;0,13%;248.368.753,93;0,13%;0;0,00%;0;0,00%;0;0,00%
