"","date","lender","borrower","amount_honoured"
"423",2018-05-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",3137963.97
"424",2018-05-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",29052871.42
"425",2018-05-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",5124656.15
"426",2018-05-15,"BID","Rio de Janeiro",2625410.52
"427",2018-05-15,"Banco Mundial","Rio de Janeiro",46313650.81
"428",2018-05-15,"Banco Mundial","Rio de Janeiro",388495.32
"429",2018-05-15,"Banco do Brasil S/A","Rio de Janeiro",9096312.53
"430",2018-05-14,"Caixa Econômica Federal","Natal",2182738.7
"431",2018-05-15,"Caixa Econômica Federal","Rio de Janeiro",7892138.16
"432",2018-04-30,"Agência Francesa de Desevolvimento","Rio de Janeiro",66842995.22
"433",2018-05-07,"Banco do Brasil S/A","Rio de Janeiro",287230773.13
"434",2018-04-25,"Caixa Econômica Federal","Rio de Janeiro",13468427.04
"435",2018-04-25,"Caixa Econômica Federal","Roraima",2779154.87
"436",2018-04-19,"Caixa Econômica Federal","Rio de Janeiro",1015445.61
"437",2018-04-19,"Caixa Econômica Federal","Rio de Janeiro",2720005.4
"438",2018-04-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",5236779.11
"439",2018-04-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",26765984.51
"440",2018-04-16,"Caixa Econômica Federal","Roraima",2774513.44
"441",2018-04-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",3269645.97
"442",2018-04-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",30358799.81
"443",2018-04-15,"BID","Rio de Janeiro",3095036.11
"444",2018-04-16,"Caixa Econômica Federal","Rio de Janeiro",8113465.22
"445",2018-04-12,"Caixa Econômica Federal","Natal",2186355.37
"446",2018-04-15,"Banco Mundial","Rio de Janeiro",3540441.47
"447",2018-04-16,"Banco do Brasil S/A","Rio de Janeiro",9585595.2
"448",2018-04-15,"Banco Mundial","Rio de Janeiro",52009528.51
"449",2018-04-15,"Banco Mundial","Rio de Janeiro",9435457.36
"450",2018-04-15,"Banco Mundial","Rio de Janeiro",8292486.32
"451",2018-03-26,"Caixa Econômica Federal","Roraima",2710939.06
"452",2018-03-20,"Japan International Cooperation Agency","Rio de Janeiro",53729.03
"453",2018-03-26,"Caixa Econômica Federal","Rio de Janeiro",13204009.82
"454",2018-03-09,"BID","Rio de Janeiro",5683138.83
"455",2018-03-15,"Caixa Econômica Federal","Rio de Janeiro",8168883.76
"456",2018-03-19,"Caixa Econômica Federal","Rio de Janeiro",2714227.32
"457",2018-03-12,"Caixa Econômica Federal","Natal",2191044.27
"458",2018-03-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",25217143.66
"459",2018-03-19,"Caixa Econômica Federal","Rio de Janeiro",1013671.17
