Relatório de Honras e Atrasos
Data de Emissão: 30/04/2020 11:35
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Status Atraso: Honra de Aval
Data Regularização Inicial: 01/01/2016
Data Regularização Final: 30/04/2020

Data de Vencimento;Tipo de Dívida;Nome do Contrato;Credor;Classificação do Credor;Mutuário;Tipo de Mutuário;Processo PGFN;Status;Data Limite da União;Data Regularização do Atraso;Moeda de Origem;Total no Vencimento (Moeda de Origem);Honra - Principal (Moeda de Origem);Honra - Juros/Encargos (Moeda de Origem);Honra - Mora (Moeda de Origem);Honra - Total (Moeda de Origem);Honra - Principal (R$);Honra Juros/Encargos (R$);Honra - Mora (R$);Honra - Total (R$);Ano Regularização;Mês Regularização;
15/04/2020;Interna;CAIXA - 20130915;Caixa Econômica Federal;Bancos Federais;Rio Grande do Norte;Estados;17944.000439/2013-16;Honra de Aval;04/05/2020;24/04/2020;Real;6.257.626,85;6.116.624,82;516.073,80;17.576,67;6.650.275,29;6.116.624,82;516.073,80;17.576,67;6.650.275,29;2020;Abril;
15/04/2020;Interna;CAIXA - 20130912;Caixa Econômica Federal;Bancos Federais;Rio Grande do Norte;Estados;17944.001160/2012-61;Honra de Aval;04/05/2020;24/04/2020;Real;1.408.033,26;1.399.985,88;92.529,38;3.955,17;1.496.470,43;1.399.985,88;92.529,38;3.955,17;1.496.470,43;2020;Abril;
15/04/2020;Externa;BIRD8415-BR;Banco Mundial;Organismos Multilaterais;Bahia;Estados;17944.000716/2014-63;Honra de Aval;15/05/2020;24/04/2020;Dólar;2.640.912,70;1.468.036,73;1.172.684,85;191,12;2.640.912,70;8.191.644,95;6.543.581,47;1.066,45;14.736.292,87;2020;Abril;
15/04/2020;Externa;BIRD7951-BR;Banco Mundial;Organismos Multilaterais;Bahia;Estados;17944.000425/2010-41;Honra de Aval;15/05/2020;24/04/2020;Dólar;1.948.708,24;1.209.779,69;738.838,98;89,57;1.948.708,24;6.750.570,67;4.122.721,51;499,80;10.873.791,98;2020;Abril;
19/04/2020;Interna;CAIXA - 20090492;Caixa Econômica Federal;Bancos Federais;Rio de Janeiro;Estados;17944.000599/2009-71;Honra de Aval;04/05/2020;24/04/2020;Real;2.594.287,72;1.423.050,08;1.251.996,39;4.397,32;2.679.443,79;1.423.050,08;1.251.996,39;4.397,32;2.679.443,79;2020;Abril;
19/04/2020;Interna;CAIXA - 20120747;Caixa Econômica Federal;Bancos Federais;Rio de Janeiro;Estados;17944.001228/2011-21;Honra de Aval;04/05/2020;24/04/2020;Real;988.825,00;546.133,41;444.870,93;1.629,06;992.633,40;546.133,41;444.870,93;1.629,06;992.633,40;2020;Abril;
15/04/2020;Externa;BIRD7719-BR;Banco Mundial;Organismos Multilaterais;Rio de Janeiro;Estados;17944.002059/2008-41;Honra de Aval;15/05/2020;23/04/2020;Dólar;6.914.467,77;4.543.045,68;2.369.803,02;1.619,07;6.914.467,77;24.821.421,22;12.939.124,49;8.840,12;37.769.385,83;2020;Abril;
15/04/2020;Externa;BIRD8187-BR;Banco Mundial;Organismos Multilaterais;Minas Gerais;Estados;17944.000482/2012-92;Honra de Aval;15/05/2020;23/04/2020;Dólar;14.505.540,00;9.000.000,00;5.496.862,50;8.677,50;14.505.540,00;48.966.820,60;29.996.013,10;47.439,89;79.010.273,59;2020;Abril;
15/04/2020;Externa;BIRD7547-BR;Banco Mundial;Organismos Multilaterais;Minas Gerais;Estados;17944.000435/2008-62;Honra de Aval;15/05/2020;23/04/2020;Dólar;28.482.968,08;20.764.879,12;7.702.867,15;15.221,81;28.482.968,08;112.543.853,14;41.926.735,02;83.019,75;154.553.607,91;2020;Abril;
27/03/2020;Interna;BNB-05042006/PE;Banco do Nordeste;Bancos Federais;Pernambuco;Estados;19407.000003/2005-11;Honra de Aval;27/04/2020;23/04/2020;Real;14.806.681,28;10.670.728,27;4.135.953,01;297.690,78;15.104.372,06;10.670.728,27;4.135.953,01;297.690,78;15.104.372,06;2020;Abril;
