"","Inicio","Classificador","Periodo","total_total","interna_cambial","interna_total","externa_total","ATM_Total","Custo_Total","Ate_12_meses","Ate_12_meses_percentual","De_1_2_anos","De_1_2_anos_percentual","De_2_3_anos","De_2_3_anos_percentual","De_3_4_anos","De_3_4_anos_percentual","De_4_5_anos","De_4_5_anos_percentual","Acima_5_anos","Acima_5_anos_percentual","interna_demais"
"65",NA,NA,2020-04-30,63162372.59,0,0,63162372.59,8.214041036,NA,5540945.069,NA,5472469.384,NA,5384408.34,NA,5298497.884,NA,5206247.376,NA,51479429.58,NA,0
"66",NA,NA,2020-04-30,62410500,0,0,62410500,6.302739686,NA,5018391.069,NA,7523812.16,NA,7343745.944,NA,7163679.842,NA,6991753.589,NA,46638046.76,NA,0
"67",NA,NA,2020-04-30,59303571.42,0,59303571.42,0,3.415669894,NA,10569539.24,NA,10257129.23,NA,9953083.53,NA,9657557.81,NA,9376371.65,NA,16423907.84,NA,59303571.42
"68",NA,NA,2020-04-30,47080459.97,0,0,47080459.97,8.964618552,NA,3864939.273,NA,3819493.568,NA,3759480.236,NA,3701108.346,NA,3637888.095,NA,40429790.67,NA,0
"69",NA,NA,2020-04-30,45645303.49,0,0,45645303.49,8.130510523,NA,474358.2548,NA,593559.2925,NA,2787052.533,NA,4941664.973,NA,4886226.723,NA,39355532.33,NA,0
"70",NA,NA,2020-04-30,45367785.22,0,0,45367785.22,4.114584969,NA,7694671.295,NA,7293435.757,NA,7065734.75,NA,6838033.743,NA,6613140.038,NA,21343252.54,NA,0
"71",NA,NA,2020-04-30,43908869.29,0,0,43908869.29,9.29688674,NA,1334213.494,NA,1402561.022,NA,1394875.755,NA,1402561.022,NA,5594362.342,NA,49043014.72,NA,0
"72",NA,NA,2020-04-30,41476594.53,0,41476594.53,0,8.938024387,NA,5053092.31,NA,5013519.03,NA,4971511.72,NA,4926913.54,NA,4879564.63,NA,47522257.45,NA,41476594.53
"73",NA,NA,2020-04-30,41422330.22,0,0,41422330.22,7.71369863,NA,3815277.596,NA,3766541.894,NA,3704940.766,NA,3644723.696,NA,3580432.598,NA,32429479.89,NA,0
"74",NA,NA,2020-04-30,39756306.46,0,0,39756306.46,7.713698551,NA,3661825.577,NA,3615050.034,NA,3555926.531,NA,3498131.431,NA,3436426.168,NA,31125152.15,NA,0
"75",NA,NA,2020-04-30,38472973.56,0,0,38472973.56,7.21340505,NA,3736267,NA,3686937.008,NA,3625635.263,NA,3565591.063,NA,3501851.97,NA,28768860.73,NA,0
"76",NA,NA,2020-04-30,37636904.77,0,37636904.77,0,4.429063143,NA,4428725.46,NA,5831459.98,NA,5665935.6,NA,5503577.3,NA,5352250.65,NA,16555092.52,NA,37636904.77
"77",NA,NA,2020-04-30,35493801.08,0,0,35493801.08,7.963853292,NA,3188955.801,NA,3148888.659,NA,3097806.893,NA,3047922.716,NA,2994510.492,NA,28370338.34,NA,0
"78",NA,NA,2020-04-30,34304361.09,0,0,34304361.09,1.956259207,NA,9647111.161,NA,9410541.528,NA,9292605.495,NA,9091564.872,NA,0,NA,0,NA,0
"79",NA,NA,2020-04-30,33103928.88,0,0,33103928.88,3.371549193,NA,5931764.693,NA,5919317.646,NA,5819220.245,NA,5719941.988,NA,5619025.387,NA,8172192.117,NA,0
"80",NA,NA,2020-04-30,30438802.44,0,0,30438802.44,7.713698514,NA,2803620.195,NA,2767807.236,NA,2722540.255,NA,2678290.302,NA,2631046.637,NA,23830492.41,NA,0
"81",NA,NA,2020-04-30,28893189.91,0,0,28893189.91,2.122162439,NA,7950216.849,NA,7927374.369,NA,7828030.418,NA,7655393.69,NA,0,NA,0,NA,0
"82",NA,NA,2020-04-30,28345782.37,0,0,28345782.37,4.47526187,NA,4625668.029,NA,4492336.964,NA,4359005.783,NA,4227501.135,NA,4092343.479,NA,13273630.34,NA,0
"83",NA,NA,2020-04-30,23257413.93,0,0,23257413.93,8.418555417,NA,653876.6546,NA,730436.1908,NA,728435.0081,NA,2949068.23,NA,2887940.847,NA,23014616.87,NA,0
"84",NA,NA,2020-04-30,20503409.51,0,0,20503409.51,9.795172797,NA,800838.8425,NA,838880.1619,NA,838880.1619,NA,838880.1619,NA,1873392.32,NA,24839224.26,NA,0
"85",NA,NA,2020-04-30,2e+07,0,2e+07,0,4.032126532,NA,2197016.11,NA,3526813.75,NA,3418358.66,NA,3304824.9,NA,3195783.7,NA,7502373.22,NA,2e+07
"86",NA,NA,2020-04-30,18870535.98,0,0,18870535.98,4.134768129,NA,2690038.006,NA,2707699.121,NA,2675396.135,NA,2643492.709,NA,2610790.107,NA,7675972.266,NA,0
"87",NA,NA,2020-04-30,18809149.88,0,0,18809149.88,1.047428846,NA,10267429.87,NA,10103126.8,NA,0,NA,0,NA,0,NA,0,NA,0
"88",NA,NA,2020-04-30,18338576.5,0,0,18338576.5,8.896346828,NA,666685.3365,NA,584175.9555,NA,585780.7916,NA,2189193.558,NA,2141849.601,NA,18776667.46,NA,0
"89",NA,NA,2020-04-30,16776549.95,0,0,16776549.95,3.214139202,NA,3267831.107,NA,3213051.695,NA,3158272.283,NA,3103869.193,NA,3048713.515,NA,3015910.965,NA,0
