"","Inicio","Classificador","UF","Credor","tipo_credor","Projeto","honras","data","Moeda","valor","data_date"
"75","Amazonas","Estados","AM","BID","Organismos Multilaterais","Programa Social e Ambiental dos Igarapés de Manaus - PROSAMIM II",NA,"10/11/2008","USD",1.54e+08,2008-11-10
"76","Amazonas","Estados","AM","BIRD","Organismos Multilaterais","Projeto de Desenvolvimento Regional do Alto Solimões",NA,"12/08/2008","USD",24250000,2008-08-12
"77","Amazonas","Estados","AM","BID","Organismos Multilaterais","Programa Social e Ambiental dos Igarapés de Manaus - PROSAMIM",NA,"19/01/2006","USD",1.4e+08,2006-01-19
"78","Bahia","Estados","BA","BB","Bancos Federais","Programa de Infra-estrutura - PROINFRA",NA,"18/08/2017","R$",6e+08,2017-08-18
"79","Bahia","Estados","BA","BIRD","Organismos Multilaterais","Programa de Restauração e Manutenção de Rodovias Estaduais da Bahia -PREMAR 2ª Etapa.",NA,"31/05/2016","USD",2e+08,2016-05-31
"80","Bahia","Estados","BA","BID","Organismos Multilaterais","PROSUS - Programa de Fortalecimento do Sistema Único de Saúde na Região Metropolitana de Salvador",NA,"30/12/2014","USD",2e+08,2014-12-30
"81","Bahia","Estados","BA","BIRD","Organismos Multilaterais","Projeto de Desenvolvimento Rural Sustentável do Estado da Bahia",NA,"29/08/2014","USD",1.5e+08,2014-08-29
"82","Bahia","Estados","BA","BIRD","Organismos Multilaterais","Programa de Inclusão e Desenvolvimento Sócioeconômico do Estado da Bahia - 2ª Etapa - PROINCLUSÃO II",NA,"14/08/2014","USD",4e+08,2014-08-14
"83","Bahia","Estados","BA","FIDA","Organismos Multilaterais","Projeto de Desenvolvimento Rural Sustentável na Região Semiárida da Bahia - Pró-Semiárido",NA,"11/08/2014","SDR",29260000,2014-08-11
"84","Bahia","Estados","BA","BID","Organismos Multilaterais","Programa Nacional de Desenvolvimento do Turismo - PRODETUR - Bahia",NA,"23/04/2014","USD",50822905,2014-04-23
"85","Bahia","Estados","BA","BID","Organismos Multilaterais","Programa de Modernização e Fortalecimento da Gestão Fiscal do Estado da Bahia/PROFISCO",NA,"17/12/2013","USD",45270000,2013-12-17
"86","Bahia","Estados","BA","BB","Bancos Federais","Investimentos previstos no orçamento do Estado nas áreas de Segurança Pública e Prisional; Ciência, Tecnologia e Inovação; Saúde e Mobilidade Urbana. Lei estadual nº 12.627, de 28/12/2012. Incluído na destinação dos recursos, por meio de aditivo assinado em 09/09/2014, o Programa Infraestrutura de Transportes, autorizado pela Lei nº 12.931, de 03/01/2014",NA,"27/11/2013","R$",1125480000,2013-11-27
"87","Bahia","Estados","BA","BNDES","Bancos Federais","PROINVESTE - Programa de Apoio ao Investimento dos Estados e do Distrito Federal",NA,"31/01/2013","R$",1487691272.64,2013-01-31
"88","Bahia","Estados","BA","BID","Organismos Multilaterais","Programa de Consolidação do Equilíbrio Fiscal para o Desenvolvimento do Estado da Bahia - PROCONFIS II",NA,"21/12/2012","USD",6e+08,2012-12-21
"89","Bahia","Estados","BA","BIRD","Organismos Multilaterais","PROINCLUSÃO - Programa de Inclusão e Desenvolvimento Socioeconômico do Estado da Bahia",NA,"18/12/2012","USD",7e+08,2012-12-18
"90","Bahia","Estados","BA","BIRD","Organismos Multilaterais","Programa com Enfoque Setorial Amplo das Áreas de Saúde e Recursos Hídricos do Estado da Bahia",NA,"18/07/2012","USD",6e+07,2012-07-18
"91","Bahia","Estados","BA","BID","Organismos Multilaterais","Programa de Desenvolvimento Ambiental da Bahia - PDA",NA,"27/06/2012","USD",1e+07,2012-06-27
"92","Bahia","Estados","BA","BNDES","Bancos Federais","Programas de desenvolvimento integrado constantes do plano plurianual (PPA) e leis orçamentárias do beneficiário.",NA,"29/12/2010","R$",323629000,2010-12-29
"93","Bahia","Estados","BA","BIRD","Organismos Multilaterais","Projeto de Combate à Pobreza Rural no Interior da Bahia - PRODUZIR III",NA,"09/12/2010","USD",3e+07,2010-12-09
