"","x","y","nome"
"171",24,4,"bolha 171"
"172",24,5,"bolha 172"
"173",24,6,"bolha 173"
"174",24,7,"bolha 174"
"175",24,17,"bolha 175"
"176",24,23,"bolha 176"
"177",26,1,"bolha 177"
"178",26,2,"bolha 178"
"179",26,3,"bolha 179"
"180",26,4,"bolha 180"
"181",26,5,"bolha 181"
"182",26,6,"bolha 182"
"183",26,7,"bolha 183"
"184",26,17,"bolha 184"
"185",26,18,"bolha 185"
"186",26,19,"bolha 186"
"187",26,20,"bolha 187"
"188",26,21,"bolha 188"
"189",26,22,"bolha 189"
"190",26,23,"bolha 190"
"191",27,1,"bolha 191"
"192",27,2,"bolha 192"
"193",27,3,"bolha 193"
"194",27,4,"bolha 194"
"195",27,5,"bolha 195"
"196",27,6,"bolha 196"
"197",27,7,"bolha 197"
"198",27,17,"bolha 198"
"199",27,18,"bolha 199"
"200",27,19,"bolha 200"
"201",27,20,"bolha 201"
"202",27,21,"bolha 202"
"203",27,22,"bolha 203"
"204",27,23,"bolha 204"
"205",28,1,"bolha 205"
"206",28,7,"bolha 206"
"207",28,17,"bolha 207"
"208",28,21,"bolha 208"
"209",28,33,"bolha 209"
"210",28,34,"bolha 210"
"211",29,1,"bolha 211"
"212",29,7,"bolha 212"
"213",29,17,"bolha 213"
"214",29,21,"bolha 214"
"215",29,33,"bolha 215"
"216",29,34,"bolha 216"
"217",29,35,"bolha 217"
"218",30,1,"bolha 218"
"219",30,2,"bolha 219"
"220",30,6,"bolha 220"
"221",30,7,"bolha 221"
"222",30,17,"bolha 222"
"223",30,21,"bolha 223"
"224",31,2,"bolha 224"
"225",31,3,"bolha 225"
"226",31,4,"bolha 226"
"227",31,5,"bolha 227"
"228",31,6,"bolha 228"
"229",31,17,"bolha 229"
"230",31,18,"bolha 230"
"231",31,19,"bolha 231"
"232",31,20,"bolha 232"
"233",31,21,"bolha 233"
"234",31,33,"bolha 234"
"235",31,34,"bolha 235"
"236",32,3,"bolha 236"
"237",32,4,"bolha 237"
"238",32,5,"bolha 238"
