Relatório de Percentual Vincendo Garantias
Data de Emissão: 13/01/2022 08:23
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Posição: Estatística
Mês de Referência: 12/2021
Base de Cálculo: Valor Desembolsado/Tranches Efetivas
Tipo de Cálculo: Valor Corrente
Tipo Percentual Vincendo: Tipo de Mutuário

Agrupador;Até 12 meses (R$);Até 12 meses (%);De 1 a 2 anos (R$);De 1 a 2 anos (%);De 2 a 3 anos (R$);De 2 a 3 anos (%);De 3 a 4 anos (R$);De 3 a 4 anos (%);De 4 a 5 anos (R$);De 4 a 5 anos (%);Acima de 5 anos (R$);Acima de 5 anos (%);Total (R$);Total (%);
Barra do Piraí;4.853.351,03;14,54815874527077%;4.577.243,75;13,72051357488529%;4.336.675,14;12,99939731814316%;4.073.918,03;12,21176993984315%;3.799.377,96;11,38882255861947%;11.720.020,23;35,13133786323815%;33.360.586,14;100%;
Barracão;661.679,32;16,00821697918814%;625.808,60;15,14038530967231%;588.375,26;14,23474868047295%;548.587,53;13,27215154966137%;508.733,24;12,3079441117268%;1.200.189,06;29,03655336927842%;4.133.373,01;100%;
Barrocas;962.018,92;17,01096648386173%;902.476,05;15,95809554248467%;847.560,07;14,98703990544126%;787.927,29;13,93257912423386%;727.263,96;12,85989557095255%;1.428.040,38;25,25142337302593%;5.655.286,67;100%;
Barão;304.296,99;5,535029099189059%;302.669,08;5,50541812860121%;300.750,35;5,470517269465249%;298.713,26;5,43346349371917%;296.550,54;5,39412456324405%;3.994.678,14;72,66144744578126%;5.497.658,36;100%;
Belford Roxo;3.241.307,25;8,512375677209241%;3.207.256,77;8,422951733289916%;3.173.578,28;8,334504715772174%;3.139.249,51;8,244349921968992%;3.105.528,05;8,155790055913719%;22.210.667,09;58,33002789584596%;38.077.586,95;100%;
Belo Horizonte;183.728.023,88;8,913587552431146%;183.429.892,45;8,899123669636804%;185.002.187,65;8,975403763590358%;181.267.455,79;8,794212790564343%;175.643.631,27;8,521372256061725%;1.152.141.791,94;55,89629996771562%;2.061.212.982,98;100%;
Belém;24.084.334,35;8,278786208726059%;24.144.673,17;8,299527167708253%;23.887.847,62;8,211245557326587%;23.631.927,84;8,123275297720711%;23.377.640,48;8,035866168681554%;171.789.826,13;59,05129959983684%;290.916.249,59;100%;
Betim;4.894.630,04;100%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.894.630,04;100%;
Blumenau;20.571.254,01;6,963705194692614%;20.362.654,13;6,893090731069633%;20.156.085,12;6,823163750084407%;19.943.490,67;6,751197059327094%;19.736.632,76;6,681172280977169%;194.636.616,29;65,88767098384908%;295.406.732,98;100%;
Boa Vista;5.901.206,01;16,83791596609583%;5.538.969,11;15,80434512113917%;5.198.534,54;14,83298288231877%;4.838.776,45;13,80648482797562%;4.478.637,99;12,77890146359835%;9.091.004,19;25,93936973887226%;35.047.128,29;100%;
Bom Jesus;215.760,94;5,940065702963298%;214.158,94;5,895961402823768%;212.456,24;5,849084753730398%;210.648,51;5,799316547431251%;208.729,31;5,746479485740997%;2.570.544,94;70,76909210731029%;3.632.298,88;100%;
Caarapó;460.451,28;5,931364387242219%;457.469,53;5,892954578148715%;454.301,49;5,852145049650155%;450.938,04;5,808818321253895%;447.367,23;5,762820457446006%;5.492.463,37;70,75189720625901%;7.762.990,94;100%;
Cachoeirinha;4.053.307,73;15,33452399097839%;3.960.826,28;14,98464702426077%;3.869.611,61;14,63956255532404%;3.775.863,29;14,28489275033642%;3.683.381,79;13,93501559445819%;7.089.572,40;26,8213580846422%;26.432.563,10;100%;
Cachoeiro de Itapemirim;5.320.322,42;8,543946256063875%;8.316.131,52;13,35493888455707%;7.886.764,15;12,66541455806193%;7.400.662,73;11,88478058898824%;6.892.182,18;11,06820780476706%;26.454.019,94;42,48271190756182%;62.270.082,94;100%;
Camaçari;3.736.031,08;1,465142120262458%;3.736.031,08;1,465142120262458%;13.672.255,81;5,361785658976401%;23.257.395,99;9,12074598495369%;22.884.816,42;8,974633169115906%;187.707.918,85;73,61255094642909%;254.994.449,23;100%;
Camboriú;2.919.438,87;14,7658310600377%;2.746.584,08;13,89157242996805%;2.596.353,44;13,13174139768432%;2.432.638,36;12,30370925832305%;2.261.405,00;11,43765143756018%;6.815.165,46;34,46949441642671%;19.771.585,21;100%;
Camocim;3.713.109,64;14,82735282601906%;3.521.803,42;14,06342040905116%;3.317.011,42;13,24563598188674%;3.111.667,28;12,42564672497499%;2.891.656,60;11,54709039507023%;8.487.048,02;33,89085366299782%;25.042.296,38;100%;
Campinas;3.701.294,70;100%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;3.701.294,70;100%;
Campinas das Missões;97.808,28;5,879216563695516%;97.181,85;5,841562107119899%;96.516,31;5,801556764097796%;95.809,70;5,759082719813683%;95.059,48;5,713987295884179%;1.181.252,16;71,00459454938893%;1.663.627,78;100%;
Campo Grande;18.774.031,02;7,125427964033378%;21.570.537,06;8,186803771806185%;21.276.701,47;8,07528247264652%;20.975.049,67;7,960794637357911%;20.679.594,94;7,848658815647314%;160.203.432,13;60,80303233850869%;263.479.346,29;100%;
Candeias;1.422.408,35;15,01359867399543%;1.354.503,86;14,29686303262892%;1.276.690,52;13,47553893238502%;1.193.391,93;12,59631771551738%;1.109.764,40;11,71362451878698%;3.117.374,23;32,90405712668626%;9.474.133,29;100%;
Canoas;34.607.363,15;23,21758967223277%;33.761.353,27;22,6500136287371%;32.907.175,04;22,07695755494333%;32.066.999,85;21,51329592231154%;15.713.766,33;10,54214322177525%;0,00;0,00%;149.056.657,64;100%;
Capinzal;544.364,81;5,553915119798766%;541.865,37;5,528414431010617%;538.411,25;5,493173561393054%;534.744,13;5,455759546306156%;530.850,84;5,416038018023016%;7.111.224,34;72,55269932346839%;9.801.460,74;100%;
Capitólio;526.094,36;16,35826782848532%;494.391,84;15,37251631235443%;465.283,59;14,46743048417998%;433.511,12;13,47950395740156%;401.068,16;12,47072935501115%;895.727,14;27,85155206256757%;3.216.076,21;100%;
Carandaí;1.662.133,10;14,65174641368096%;1.569.938,62;13,83904967976646%;1.488.641,31;13,12241178221517%;1.395.615,37;12,30238570682187%;1.300.690,84;11,46562351130464%;3.927.246,85;34,6187829062109%;11.344.266,09;100%;
Cariacica;10.654.427,98;12,04399434535905%;13.412.289,05;15,16153976353793%;12.656.227,85;14,30687193579169%;11.824.686,21;13,36687939664361%;10.971.209,42;12,40209089256334%;28.943.738,22;32,71862366610438%;88.462.578,73;100%;
Cascavel;15.432.482,35;8,117515464360546%;14.991.018,02;7,885304375796523%;14.602.596,31;7,680993807599543%;14.168.003,41;7,452397104461159%;13.725.060,26;7,219408153726505%;117.194.211,38;61,64438109405572%;190.113.371,73;100%;
