Relatório de Estoque de Garantias;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Emissão: 11/05/2022 08:42;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Dívida: Interna - Externa;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar mutuário(s) por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Credor(es): Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Selecionar operação de crédito por: Não Informado;;;;;;;;;;;;;;;;;;;;;;;;;
Tipo de Cálculo: Apropriação;;;;;;;;;;;;;;;;;;;;;;;;;
Posição: Estatístico;;;;;;;;;;;;;;;;;;;;;;;;;
Data de Referência: 30/04/2022;;;;;;;;;;;;;;;;;;;;;;;;;
Detalhamento: Por tranche;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Nome do Contrato;CADIP/ROF;Inscrição Genérica;Tipo de Dívida;Mutuário;Tipo Mutuário;UF;Região;Agrupador de Tipo Mutuário;CAPAG;Credor;Classificação de Credor;Contragarantia;Moeda;Indexador;Tipo de Indexador de Juros;Indexador de Juros;Saldo Principal (Moeda de Origem);Saldo Juros (Moeda de Origem);Saldo Estoque (Moeda de Origem);Saldo Principal (USD);Saldo Juros (USD);Saldo Estoque (USD);Saldo Principal (BRL);Saldo Juros (BRL);Saldo Estoque (BRL)
BB - 2012820;2013000017;12438;Interna;Rondônia;Estados;RO;Norte;Garantias a Estados, Municípios e Entidades Controladas;A;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;235.699.323,81;600.094,91;236.299.418,72;47.915.131,59;121.992,83;48.037.124,42;235.699.323,81;600.094,91;236.299.418,72
BB - 2013836;2013000109;12443;Interna;Rio Grande do Norte;Estados;RN;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;213.167.769,12;542.729,16;213.710.498,28;43.334.709,42;110.330,99;43.445.040,41;213.167.769,12;542.729,16;213.710.498,28
BB - 2013850;2013000326;12431;Interna;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 3,73%;4.524.102.224,61;84.460.533,28;4.608.562.757,89;919.701.210,51;17.169.915,90;936.871.126,40;4.524.102.224,61;84.460.533,28;4.608.562.757,89
BB - 2013877;2020003665;12470;Interna;Santa Catarina;Estados;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 3,75%;1.406.935.734,26;16.499.044,46;1.423.434.778,72;286.014.867,41;3.354.077,87;289.368.945,28;1.406.935.734,26;16.499.044,46;1.423.434.778,72
BB - 2013879;2020003708;12453;Interna;Piauí;Estados;PI;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 4,5572%;769.272.051,83;11.907.798,34;781.179.850,17;156.384.715,06;2.420.727,03;158.805.442,09;769.272.051,83;11.907.798,34;781.179.850,17
BB - 2013887;2020003697;12447;Interna;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 3,73%;3.526.829.812,92;25.485.901,55;3.552.315.714,47;716.966.480,23;5.181.009,04;722.147.489,27;3.526.829.812,92;25.485.901,55;3.552.315.714,47
BB - 2013889;2020003682;12446;Interna;Goiás;Estados;GO;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 4,051%;2.372.351.845,19;23.695.147,76;2.396.046.992,95;482.273.555,16;4.816.968,10;487.090.523,26;2.372.351.845,19;23.695.147,76;2.396.046.992,95
BB - 2013891;2020003683;12450;Interna;Tocantins;Estados;TO;Norte;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 4,31%;567.666.662,03;8.994.536,36;576.661.198,39;115.400.512,70;1.828.492,28;117.229.004,98;567.666.662,03;8.994.536,36;576.661.198,39
BB - 2013898;2013000543;12457;Interna;Minas Gerais;Estados;MG;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 3,73%;1.923.175.204,98;21.120.476,86;1.944.295.681,84;390.960.786,52;4.293.565,26;395.254.351,78;1.923.175.204,98;21.120.476,86;1.944.295.681,84
BB - 2013902;2020003626;12452;Interna;Amazonas;Estados;AM;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;;Pós-fixado;120% CDI Juros + 0%;667.827.064,53;25.374.752,62;693.201.817,15;135.762.042,76;5.158.413,66;140.920.456,41;667.827.064,53;25.374.752,62;693.201.817,15
