;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa
Agrupador;Total (R$);Total (%);IPCA (R$);IPCA (%);IPCA CS (R$);IPCA CS (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Cambial (R$);Cambial (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);220 - USD (R$);220 - USD (%);IPCA (R$);IPCA (%);IPCA CS (R$);IPCA CS (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);USD (R$);USD (%);EUR (R$);EUR (%);JPY (R$);JPY (%);Demais (R$);Demais (%)
Municípios;27.932.682.986,64;10,22%;234.710.376,13;0,09%;0;0,00%;0;0,00%;1.692.303.291,74;0,62%;1.350.316.070,17;0,49%;19.767.617.234,47;7,23%;4.887.736.014,12;1,79%;8.165.065.752,16;7,57%;0;0,00%;234.710.376,13;0,22%;0;0,00%;0;0,00%;1.692.303.291,74;1,57%;1.350.316.070,17;1,25%;4.887.736.014,12;4,53%;19.767.617.234,47;11,94%;19.544.947.565,21;11,81%;179.721.001,10;0,11%;42.948.668,16;0,03%;0;0,00%
Rio de Janeiro;6.603.979.906,29;2,42%;234.710.376,13;0,09%;0;0,00%;0;0,00%;1.553.457.710,29;0,57%;0;0,00%;4.815.811.819,87;1,76%;0;0,00%;1.788.168.086,42;1,66%;0;0,00%;234.710.376,13;0,22%;0;0,00%;0;0,00%;1.553.457.710,29;1,44%;0;0,00%;0;0,00%;4.815.811.819,87;2,91%;4.815.811.819,87;2,91%;0;0,00%;0;0,00%;0;0,00%
Manaus;2.359.491.922,66;0,86%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.109.786.151,15;0,41%;1.249.705.771,51;0,46%;1.249.705.771,51;1,16%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.249.705.771,51;1,16%;1.109.786.151,15;0,67%;1.109.786.151,15;0,67%;0;0,00%;0;0,00%;0;0,00%
Fortaleza;2.141.099.480,29;0,78%;0;0,00%;0;0,00%;0;0,00%;34.003.082,05;0,01%;135.467.657,82;0,05%;1.799.214.947,30;0,66%;172.413.793,12;0,06%;341.884.532,99;0,32%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;34.003.082,05;0,03%;135.467.657,82;0,13%;172.413.793,12;0,16%;1.799.214.947,30;1,09%;1.799.214.947,30;1,09%;0;0,00%;0;0,00%;0;0,00%
São Bernardo do Campo;1.832.372.380,33;0,67%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.545.143.356,59;0,57%;287.229.023,74;0,11%;287.229.023,74;0,27%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;287.229.023,74;0,27%;1.545.143.356,59;0,93%;1.545.143.356,59;0,93%;0;0,00%;0;0,00%;0;0,00%
Belo Horizonte;1.663.598.619,89;0,61%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.448.606.036,16;0,53%;214.992.583,73;0,08%;214.992.583,73;0,20%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;214.992.583,73;0,20%;1.448.606.036,16;0,88%;1.448.606.036,16;0,88%;0;0,00%;0;0,00%;0;0,00%
São Paulo;1.024.973.534,35;0,37%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.888.016,90;0,00%;476.942.660,48;0,17%;546.142.856,97;0,20%;548.030.873,87;0,51%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.888.016,90;0,00%;546.142.856,97;0,51%;476.942.660,48;0,29%;476.942.660,48;0,29%;0;0,00%;0;0,00%;0;0,00%
Salvador;1.024.611.886,14;0,37%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;942.950.343,18;0,34%;81.661.542,96;0,03%;81.661.542,96;0,08%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;81.661.542,96;0,08%;942.950.343,18;0,57%;942.950.343,18;0,57%;0;0,00%;0;0,00%;0;0,00%
Porto Alegre;636.885.123,66;0,23%;0;0,00%;0;0,00%;0;0,00%;90.657.659,20;0,03%;0;0,00%;546.227.464,46;0,20%;0;0,00%;90.657.659,20;0,08%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;90.657.659,20;0,08%;0;0,00%;0;0,00%;546.227.464,46;0,33%;546.227.464,46;0,33%;0;0,00%;0;0,00%;0;0,00%
Goiânia;567.422.091,31;0,21%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;179.695.490,53;0,07%;387.726.600,78;0,14%;387.726.600,78;0,36%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;387.726.600,78;0,36%;179.695.490,53;0,11%;179.695.490,53;0,11%;0;0,00%;0;0,00%;0;0,00%
Mauá;553.338.990,37;0,20%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;553.338.990,37;0,20%;0;0,00%;0;0,00%;553.338.990,37;0,51%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;553.338.990,37;0,51%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Recife;514.475.743,23;0,19%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;514.475.743,23;0,19%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;514.475.743,23;0,31%;514.475.743,23;0,31%;0;0,00%;0;0,00%;0;0,00%
Curitiba;508.559.538,06;0,19%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;355.278.280,63;0,13%;153.281.257,43;0,06%;153.281.257,43;0,14%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;153.281.257,43;0,14%;355.278.280,63;0,21%;166.956.048,78;0,10%;145.373.563,69;0,09%;42.948.668,16;0,03%;0;0,00%
