Relatório de Composição de Garantias
Data de Emissão: 13/01/2022 08:07
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Tipo de Cálculo: Apropriação
Posição: Estatístico
Data de Referência: 31/12/2021
Tipo de Composição: Indexador

;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;
Agrupador;Total (R$);Total (%);IPCA (R$);IPCA (%);IPCA CS (R$);IPCA CS (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Cambial (R$);Cambial (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);220 - USD (R$);220 - USD (%);IPCA (R$);IPCA (%);IPCA CS (R$);IPCA CS (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);USD (R$);USD (%);EUR (R$);EUR (%);JPY (R$);JPY (%);Demais (R$);Demais (%);
Panambi;10.351.598,00752763;0,0034117444614552%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;10.351.598,00752763;0,0034117444614552%;0,00;0,00%;0,00;0,00%;10.351.598,00752763;0,0091666986912243%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;10.351.598,00752763;0,0091666986912243%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Prudentópolis;10.037.385,47140869;0,0033081843271606%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;10.037.385,47140869;0,0033081843271606%;0,00;0,00%;0,00;0,00%;10.037.385,47140869;0,0088884526038556%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;10.037.385,47140869;0,0088884526038556%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Araquari;9.987.135,679563009;0,0032916226862532%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;9.987.135,679563009;0,0032916226862532%;0,00;0,00%;0,00;0,00%;9.987.135,679563009;0,0088439546721536%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;9.987.135,679563009;0,0088439546721536%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Costa Rica;9.912.815,274414883;0,0032671277019568%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;9.912.815,274414883;0,0032671277019568%;0,00;0,00%;0,00;0,00%;9.912.815,274414883;0,0087781413783889%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;9.912.815,274414883;0,0087781413783889%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Ponte Nova;8.955.659,200000027;0,0029516622121591%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;8.955.659,200000027;0,0029516622121591%;8.955.659,200000027;0,007930546511562%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;8.955.659,200000027;0,007930546511562%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Carandaí;8.000.582,540000024;0,0026368820687793%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;8.000.582,540000024;0,0026368820687793%;8.000.582,540000024;0,0070847930382457%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;8.000.582,540000024;0,0070847930382457%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Candeias;6.642.005,87000002;0,0021891138666172%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;6.642.005,87000002;0,0021891138666172%;6.642.005,87000002;0,0058817263258637%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;6.642.005,87000002;0,0058817263258637%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Uruguaiana;6.546.998,346635;0,0021578006924192%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;6.546.998,346635;0,0021578006924192%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;6.546.998,346635;0,003437022779574%;6.546.998,346635;0,003437022779574%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Pojuca;6.472.968,750000019;0,0021334015546127%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;6.472.968,750000019;0,0021334015546127%;6.472.968,750000019;0,0057320380994135%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;6.472.968,750000019;0,0057320380994135%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Castro;6.432.740,410991342;0,0021201428468551%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;6.432.740,410991342;0,0021201428468551%;0,00;0,00%;0,00;0,00%;6.432.740,410991342;0,0056964145114155%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;6.432.740,410991342;0,0056964145114155%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Santa Rosa;6.416.666,690000019;0,0021148451692861%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;6.416.666,690000019;0,0021148451692861%;6.416.666,690000019;0,0056821806745656%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;6.416.666,690000019;0,0056821806745656%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Jaguaré;6.335.142,090000019;0,0020879757813598%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;6.335.142,090000019;0,0020879757813598%;6.335.142,090000019;0,0056099878166533%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;6.335.142,090000019;0,0056099878166533%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Ubaíra;5.250.306,200000016;0,0017304287788%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;5.250.306,200000016;0,0017304287788%;5.250.306,200000016;0,0046493280493571%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;5.250.306,200000016;0,0046493280493571%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Ivinhema;5.236.214,467798414;0,0017257843375015%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;5.236.214,467798414;0,0017257843375015%;0,00;0,00%;0,00;0,00%;5.236.214,467798414;0,0046368493322512%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;5.236.214,467798414;0,0046368493322512%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Fortim;5.000.000,000000015;0,00164793129475%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;5.000.000,000000015;0,00164793129475%;5.000.000,000000015;0,0044276732368076%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;5.000.000,000000015;0,0044276732368076%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Capinzal;4.973.174,253600219;0,0016390898973505%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.973.174,253600219;0,0016390898973505%;0,00;0,00%;0,00;0,00%;4.973.174,253600219;0,0044039181089293%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.973.174,253600219;0,0044039181089293%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Betim;4.878.174,32003;0,0016077792246446%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.878.174,32003;0,0016077792246446%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.878.174,32003;0,0025609287452003%;4.878.174,32003;0,0025609287452003%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Jiquiriçá;4.789.583,360000014;0,0015785808615515%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.789.583,360000014;0,0015785808615515%;4.789.583,360000014;0,0042413420117062%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.789.583,360000014;0,0042413420117062%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Paraíso das Águas;4.717.511,078991671;0,00155482682808%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.717.511,078991671;0,00155482682808%;0,00;0,00%;0,00;0,00%;4.717.511,078991671;0,004177519509759%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.717.511,078991671;0,004177519509759%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Lapão;4.695.833,320000014;0,0015476821365915%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.695.833,320000014;0,0015476821365915%;4.695.833,320000014;0,0041583231030947%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.695.833,320000014;0,0041583231030947%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Água Doce;4.583.333,300000014;0,0015106036758679%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.583.333,300000014;0,0015106036758679%;4.583.333,300000014;0,0040587004375559%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.583.333,300000014;0,0040587004375559%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Concórdia;4.413.612,387846218;0,0014546659953656%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.413.612,387846218;0,0014546659953656%;0,00;0,00%;0,00;0,00%;4.413.612,387846218;0,0039084066894619%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.413.612,387846218;0,0039084066894619%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Piripiri;4.349.935,950000013;0,0014336791164326%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.349.935,950000013;0,0014336791164326%;4.349.935,950000013;0,0038520189975285%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.349.935,950000013;0,0038520189975285%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Schroeder;4.300.502,886199158;0,001417386657866%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.300.502,886199158;0,001417386657866%;0,00;0,00%;0,00;0,00%;4.300.502,886199158;0,0038082443068076%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.300.502,886199158;0,0038082443068076%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Morro da Fumaça;4.261.554,353194211;0,0014045497565813%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.261.554,353194211;0,0014045497565813%;0,00;0,00%;0,00;0,00%;4.261.554,353194211;0,0037737540313678%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.261.554,353194211;0,0037737540313678%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Pinhalzinho;4.249.999,980000013;0,0014007415939458%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.249.999,980000013;0,0014007415939458%;4.249.999,980000013;0,0037635222335758%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.249.999,980000013;0,0037635222335758%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Massaranduba;4.183.977,616466677;0,0013789815301418%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.183.977,616466677;0,0013789815301418%;0,00;0,00%;0,00;0,00%;4.183.977,616466677;0,0037050571431663%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.183.977,616466677;0,0037050571431663%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Barrocas;4.114.371,370000012;0,0013560402677693%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.114.371,370000012;0,0013560402677693%;4.114.371,370000012;0,0036434184002473%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.114.371,370000012;0,0036434184002473%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Caarapó;4.083.392,040227074;0,0013458299063646%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.083.392,040227074;0,0013458299063646%;0,00;0,00%;0,00;0,00%;4.083.392,040227074;0,0036159851303813%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;4.083.392,040227074;0,0036159851303813%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Viçosa;3.907.470,020000012;0,0012878484258511%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;3.907.470,020000012;0,0012878484258511%;3.907.470,020000012;0,0034602000862364%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;3.907.470,020000012;0,0034602000862364%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Guarda-Mor;3.724.557,280000011;0,0012275629001602%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;3.724.557,280000011;0,0012275629001602%;3.724.557,280000011;0,0032982245175226%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;3.724.557,280000011;0,0032982245175226%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Paranã;3.681.250,010000011;0,0012132894190555%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;3.681.250,010000011;0,0012132894190555%;3.681.250,010000011;0,003259874429455%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;3.681.250,010000011;0,003259874429455%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Campinas;3.649.356,869805;0,0012027778782925%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;3.649.356,869805;0,0012027778782925%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;3.649.356,869805;0,0019158279914278%;3.649.356,869805;0,0019158279914278%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Paranavaí;3.613.268,510000011;0,0011908836507927%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;3.613.268,510000011;0,0011908836507927%;3.613.268,510000011;0,0031996744558254%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;3.613.268,510000011;0,0031996744558254%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
São Gabriel do Oeste;3.250.231,42976329;0,0010712316176574%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;3.250.231,42976329;0,0010712316176574%;0,00;0,00%;0,00;0,00%;3.250.231,42976329;0,0028781925429988%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;3.250.231,42976329;0,0028781925429988%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Abdon Batista;3.189.690,80000001;0,0010512782579792%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;3.189.690,80000001;0,0010512782579792%;3.189.690,80000001;0,0028245817177703%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;3.189.690,80000001;0,0028245817177703%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Itá;3.142.570,862833944;0,0010357481741667%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;1.350.445,742833939;0,0004450883602956%;0,00;0,00%;1.792.125,120000005;0,0005906598138711%;3.142.570,862833944;0,0027828553808283%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;1.350.445,742833939;0,0011958664946613%;1.792.125,120000005;0,0015869888861669%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Barracão;2.957.195,090000009;0,0009746508666984%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.957.195,090000009;0,0009746508666984%;2.957.195,090000009;0,0026186987112024%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.957.195,090000009;0,0026186987112024%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Abelardo Luz;2.836.620,200000009;0,00093491103978%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.836.620,200000009;0,00093491103978%;2.836.620,200000009;0,0025119254685056%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.836.620,200000009;0,0025119254685056%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Ponte Serrada;2.808.202,320000008;0,0009255448970235%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.808.202,320000008;0,0009255448970235%;2.808.202,320000008;0,002486760451161%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.808.202,320000008;0,002486760451161%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Barão;2.781.977,255605402;0,000916901476159%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.781.977,255605402;0,000916901476159%;0,00;0,00%;0,00;0,00%;2.781.977,255605402;0,0024635372480103%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.781.977,255605402;0,0024635372480103%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Correia Pinto;2.736.150,751087293;0,0009017976899741%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.736.150,751087293;0,0009017976899741%;0,00;0,00%;0,00;0,00%;2.736.150,751087293;0,0024229562904921%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.736.150,751087293;0,0024229562904921%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Nova Santa Rita;2.725.692,400000008;0,0008983507611644%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.725.692,400000008;0,0008983507611644%;2.725.692,400000008;0,00241369505825%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.725.692,400000008;0,00241369505825%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Sonora;2.698.045,654544812;0,0008892387737577%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.698.045,654544812;0,0008892387737577%;0,00;0,00%;0,00;0,00%;2.698.045,654544812;0,0023892129072626%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.698.045,654544812;0,0023892129072626%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Cotiporã;2.520.021,223503457;0,0008305643675291%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.520.021,223503457;0,0008305643675291%;0,00;0,00%;0,00;0,00%;2.520.021,223503457;0,0022315661054987%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.520.021,223503457;0,0022315661054987%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Jaquirana;2.351.990,867491465;0,0007751838711011%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.351.990,867491465;0,0007751838711011%;0,00;0,00%;0,00;0,00%;2.351.990,867491465;0,0020827694034416%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.351.990,867491465;0,0020827694034416%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Capitólio;2.319.779,540000007;0,0007645674601773%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.319.779,540000007;0,0007645674601773%;2.319.779,540000007;0,0020542451569104%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.319.779,540000007;0,0020542451569104%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Doutor Pedrinho;2.312.477,870000007;0,000762160930078%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.312.477,870000007;0,000762160930078%;2.312.477,870000007;0,0020477792751418%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.312.477,870000007;0,0020477792751418%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Roca Sales;2.301.194,530000007;0,0007584420962589%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.301.194,530000007;0,0007584420962589%;2.301.194,530000007;0,0020377874866338%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.301.194,530000007;0,0020377874866338%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Vargeão;2.292.358,710000007;0,0007555299314003%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.292.358,710000007;0,0007555299314003%;2.292.358,710000007;0,002029963061886%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.292.358,710000007;0,002029963061886%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Garça;2.275.127,027525265;0,0007498506056381%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.275.127,027525265;0,0007498506056381%;0,00;0,00%;0,00;0,00%;2.275.127,027525265;0,0020147038100223%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.275.127,027525265;0,0020147038100223%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Alto Feliz;2.235.034,066848155;0,0007366365167183%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.235.034,066848155;0,0007366365167183%;0,00;0,00%;0,00;0,00%;2.235.034,066848155;0,0019792001042274%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.235.034,066848155;0,0019792001042274%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Maratá;2.162.754,830000006;0,0007128142734457%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.162.754,830000006;0,0007128142734457%;2.162.754,830000006;0,0019151943357135%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.162.754,830000006;0,0019151943357135%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Morro Grande;2.019.038,984039929;0,0006654475054239%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.019.038,984039929;0,0006654475054239%;0,00;0,00%;0,00;0,00%;2.019.038,984039929;0,001787928974741%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;2.019.038,984039929;0,001787928974741%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
Passos Maia;1.988.645,396083471;0,0006554301964733%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;1.988.645,396083471;0,0006554301964733%;0,00;0,00%;0,00;0,00%;1.988.645,396083471;0,0017610143995479%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;1.988.645,396083471;0,0017610143995479%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;0,00;0,00%;
