Relatório de Estoque de Garantias
Data de Emissão: 13/01/2022 08:15
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Tipo de Cálculo: Apropriação
Posição: Estatístico
Data de Referência: 31/12/2021
Detalhamento: Por tranche

Nome do Contrato;CADIP/ROF;Inscrição Genérica;Tipo de Dívida;Mutuário;Tipo Mutuário;UF;Região;Agrupador de Tipo Mutuário;CAPAG;Credor;Classificação de Credor;Contragarantia;Moeda;Indexador;Tipo de Indexador de Juros;Indexador de Juros;Saldo Principal (Moeda de Origem);Saldo Juros (Moeda de Origem);Saldo Estoque (Moeda de Origem);Saldo Principal (USD);Saldo Juros (USD);Saldo Estoque (USD);Saldo Principal (BRL);Saldo Juros (BRL);Saldo Estoque (BRL)
BB - 2012802;2020003707;12437;Interna;Mato Grosso;Estados;MT;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;A;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 3,8%;217.343.079,23;844.715,99;218.187.795,22;38.946.882,75781751;151.369,2303557033;39.098.251,9881732133;217.343.079,2300007;844.715,9900000025;218.187.795,2200007025;
BB - 2012802;2020003706;12437;Interna;Mato Grosso;Estados;MT;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;A;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 3,8%;153.615.311,57;597.034,47;154.212.346,04;27.527.159,13807014;106.985,8381865427;27.634.144,9762566827;153.615.311,5700005;597.034,4700000018;154.212.346,0400005018;
BB - 2012805;2020003702;12439;Interna;Mato Grosso;Estados;MT;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;A;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;407.034.627,57;5.453.384,45;412.488.012,02;72.938.738,02885066;977.221,4765702025;73.915.959,5054208625;407.034.627,5700012;5.453.384,450000016;412.488.012,020001216;
BB - 2012810;2020003439;12456;Interna;Roraima;Estados;RR;Norte;Garantias a Estados, Municípios e Entidades Controladas;A;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;244.864.757,97;678.106,27;245.542.864,24;43.878.641,33500594;121.513,5328375597;44.000.154,8678434997;244.864.757,9700007;678.106,270000002;245.542.864,240000702;
BB - 2012820;2013000017;12438;Interna;Rondônia;Estados;RO;Norte;Garantias a Estados, Municípios e Entidades Controladas;A;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;242.814.159,64;672.427,53;243.486.587,17;43.511.183,52118998;120.495,9286802261;43.631.679,4498702061;242.814.159,6400007;672.427,530000002;243.486.587,170000702;
BB - 2013836;2013000109;12443;Interna;Rio Grande do Norte;Estados;RN;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;219.551.486,42;608.005,99;220.159.492,41;39.342.619,19541271;108.951,8842397638;39.451.571,0796524738;219.551.486,4200007;608.005,9900000018;220.159.492,4100007018;
BB - 2013850;2013000326;12431;Interna;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 3,73%;5.132.392.605,19;29.417.742,16;5.161.810.347,35;919.701.210,4990618;5.271.524,444046247;924.972.734,943108047;5.132.392.605,190015;29.417.742,16000009;5.161.810.347,35001509;
BB - 2013877;2020003665;12470;Interna;Santa Catarina;Estados;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 3,75%;1.665.501.879,10;29.772.707,65;1.695.274.586,75;298.450.296,4071328;5.335.132,631484649;303.785.429,038617449;1.665.501.879,100005;29.772.707,65000009;1.695.274.586,75000509;
BB - 2013879;2020003708;12453;Interna;Piauí;Estados;PI;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 4,5572%;910.648.593,69;21.334.464,19;931.983.057,88;163.184.050,4775562;3.823.038,113072316;167.007.088,590628516;910.648.593,6900027;21.334.464,19000006;931.983.057,88000276;
BB - 2013887;2020003697;12447;Interna;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 3,73%;4.174.989.331,82;52.300.247,02;4.227.289.578,84;748.138.935,9053869;9.371.964,343696827;757.510.900,249083727;4.174.989.331,820013;52.300.247,02000016;4.227.289.578,84001316;
BB - 2013889;2020003682;12446;Interna;Goiás;Estados;GO;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 4,051%;2.808.341.816,84;47.149.267,58;2.855.491.084,42;503.241.970,5832825;8.448.932,457665107;511.690.903,040947607;2.808.341.816,840008;47.149.267,58000014;2.855.491.084,42000814;
BB - 2013891;2020003683;12450;Interna;Tocantins;Estados;TO;Norte;Garantias a Estados, Municípios e Entidades Controladas;C;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 4,31%;643.992.561,15;320.311,31;644.312.872,46;115.400.512,7049551;57.398,31735507587;115.457.911,02231017587;643.992.561,1500019;320.311,310000001;644.312.872,460001901;
BB - 2013898;2013000543;12457;Interna;Minas Gerais;Estados;MG;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 3,73%;2.276.615.654,59;38.750.898,92;2.315.366.553,51;407.959.081,5500414;6.943.983,320491015;414.903.064,870532415;2.276.615.654,590007;38.750.898,92000012;2.315.366.553,51000712;
BB - 2013902;2020003626;12452;Interna;Amazonas;Estados;AM;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;;Pós-fixado;120% CDI Juros + 0%;667.827.064,53;5.844.245,30;673.671.309,83;119.671.546,3721892;1.047.261,947854138;120.718.808,320043338;667.827.064,530002;5.844.245,300000018;673.671.309,830002018;
BB - 2013907;2020003685;12462;Interna;Bahia;Estados;BA;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;DOLAR-DOS-EUA - PARIDADE VENDA;Pós-fixado;100% Libor + 4,425%;1.791.765.837,98;7.312.652,08;1.799.078.490,06;321.076.218,6148203;1.310.393,706657113;322.386.612,321477413;1.791.765.837,980005;7.312.652,080000022;1.799.078.490,060005022;
BB - 2013943;2020003666;12469;Interna;Santa Catarina;Estados;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;;Pós-fixado;120% CDI Juros + 0%;1.734.677.392,56;14.570.638,52;1.749.248.031,08;310.846.231,0832371;2.610.991,581399523;313.457.222,664636623;1.734.677.392,560005;14.570.638,52000004;1.749.248.031,08000504;
BB - 2013955;2020003687;12445;Interna;Paraná;Estados;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 1,1%;734.567.116,55;9.841.612,04;744.408.728,59;131.631.057,5306876;1.763.571,730131713;133.394.629,260819313;734.567.116,5500022;9.841.612,04000003;744.408.728,59000223;
BB - 2014003;2020003695;12442;Interna;Distrito Federal;Estados;DF;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;B;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 2,1%;18.041.240,03;57.483,53;18.098.723,56;3.232.907,450945265;10.300,78487590721;3.243.208,23582117221;18.041.240,03000005;57.483,53000000017;18.098.723,56000005017;
BB - 2014007;2020003613;12459;Interna;Fortaleza;Municípios;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;Pós-fixado;100% TJLP + 2,1%;23.035.419,53;73.396,14;23.108.815,67;4.127.841,507033431;13.152,25159035932;4.140.993,75862379032;23.035.419,53000007;73.396,14000000022;23.108.815,67000007022;
BB - 2014008;;12460;Interna;Fortaleza;Municípios;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;TJLP;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
BB - 2014010;2020003385;12476;Interna;Mato Grosso;Estados;MT;Centro-Oeste;Garantias a Estados, Municípios e Entidades Controladas;A;BB;Bancos Federais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;R$;;Pós-fixado;120% CDI Juros + 0%;106.165.337,14;1.358.506,06;107.523.843,20;19.024.341,39234841;243.438,0539378199;19.267.779,4462862299;106.165.337,1400003;1.358.506,060000004;107.523.843,200000304;
