;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Totais;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Interna;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa;Externa
Agrupador;Total (R$);Total (%);IPCA (R$);IPCA (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Cambial (R$);Cambial (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);220 - USD (R$);220 - USD (%);IPCA (R$);IPCA (%);SELIC (R$);SELIC (%);TJLP (R$);TJLP (%);TR (R$);TR (%);Não Indexados (R$);Não Indexados (%);Total (R$);Total (%);USD (R$);USD (%);EUR (R$);EUR (%);JPY (R$);JPY (%);Demais (R$);Demais (%)
Banco do Nordeste;560.124.793,22;0,22%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;560.124.793,22;0,22%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;560.124.793,22;0,39%;560.124.793,22;0,39%;0;0,00%;0;0,00%;0;0,00%
Banco do Brasil;150.540.815,53;0,06%;0;0,00%;0;0,00%;150.540.815,53;0,06%;0;0,00%;0;0,00%;0;0,00%;150.540.815,53;0,13%;0;0,00%;0;0,00%;0;0,00%;150.540.815,53;0,13%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Municípios;17.453.188.389,87;6,82%;267.375.579,21;0,10%;0;0,00%;2.329.025.938,07;0,91%;958.667.255,95;0,37%;13.648.519.616,64;5,34%;249.600.000,00;0,10%;3.804.668.773,23;3,36%;0;0,00%;267.375.579,21;0,24%;0;0,00%;2.329.025.938,07;2,06%;958.667.255,95;0,85%;249.600.000,00;0,22%;13.648.519.616,64;9,57%;13.377.373.621,72;9,38%;170.793.206,73;0,12%;100.352.788,19;0,07%;0;0,00%
Rio de Janeiro;6.994.213.939,43;2,73%;267.375.579,21;0,10%;0;0,00%;2.074.351.715,86;0,81%;0;0,00%;4.652.486.644,35;1,82%;0;0,00%;2.341.727.295,07;2,07%;0;0,00%;267.375.579,21;0,24%;0;0,00%;2.074.351.715,86;1,83%;0;0,00%;0;0,00%;4.652.486.644,35;3,26%;4.652.486.644,35;3,26%;0;0,00%;0;0,00%;0;0,00%
Belo Horizonte;1.264.717.255,19;0,49%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.264.717.255,19;0,49%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.264.717.255,19;0,89%;1.264.717.255,19;0,89%;0;0,00%;0;0,00%;0;0,00%
Fortaleza;1.070.315.915,53;0,42%;0;0,00%;0;0,00%;55.133.620,45;0,02%;114.627.987,60;0,04%;900.554.307,48;0,35%;0;0%;169.761.608,05;0,15%;0;0,00%;0;0,00%;0;0,00%;55.133.620,45;0,05%;114.627.987,60;0,10%;0;0%;900.554.307,48;0,63%;900.554.307,48;0,63%;0;0,00%;0;0,00%;0;0,00%
Manaus;1.031.107.701,15;0,40%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;931.107.701,15;0,36%;100.000.000,00;0,04%;100.000.000,00;0,09%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;100.000.000,00;0,09%;931.107.701,15;0,65%;931.107.701,15;0,65%;0;0,00%;0;0,00%;0;0,00%
São Bernardo do Campo;1.019.905.146,28;0,40%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.019.905.146,28;0,40%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.019.905.146,28;0,72%;1.019.905.146,28;0,72%;0;0,00%;0;0,00%;0;0,00%
São Paulo;544.742.890,67;0,21%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;414.742.890,67;0,16%;130.000.000,00;0,05%;130.000.000,00;0,11%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;130.000.000,00;0,11%;414.742.890,67;0,29%;414.742.890,67;0,29%;0;0,00%;0;0,00%;0;0,00%
Mauá;531.680.199,47;0,21%;0;0,00%;0;0,00%;0;0,00%;531.680.199,47;0,21%;0;0,00%;0;0,00%;531.680.199,47;0,47%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;531.680.199,47;0,47%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Porto Alegre;527.328.439,50;0,21%;0;0,00%;0;0,00%;147.989.344,50;0,06%;0;0,00%;379.339.095,00;0,15%;0;0,00%;147.989.344,50;0,13%;0;0,00%;0;0,00%;0;0,00%;147.989.344,50;0,13%;0;0,00%;0;0,00%;379.339.095,00;0,27%;379.339.095,00;0,27%;0;0,00%;0;0,00%;0;0,00%
Curitiba;421.124.901,87;0,16%;0;0,00%;0;0,00%;24.614.390,45;0,01%;0;0,00%;396.510.511,42;0,16%;0;0,00%;24.614.390,45;0,02%;0;0,00%;0;0,00%;0;0,00%;24.614.390,45;0,02%;0;0,00%;0;0,00%;396.510.511,42;0,28%;163.007.645,58;0,11%;133.150.077,65;0,09%;100.352.788,19;0,07%;0;0,00%
Recife;381.723.366,00;0,15%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;381.723.366,00;0,15%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;381.723.366,00;0,27%;381.723.366,00;0,27%;0;0,00%;0;0,00%;0;0,00%
Niterói;229.650.184,90;0,09%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;229.650.184,90;0,09%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;229.650.184,90;0,16%;229.650.184,90;0,16%;0;0,00%;0;0,00%;0;0,00%
Belém;221.035.455,74;0,09%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;221.035.455,74;0,09%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;221.035.455,74;0,16%;221.035.455,74;0,16%;0;0,00%;0;0,00%;0;0,00%
Natal;206.278.208,23;0,08%;0;0,00%;0;0,00%;0;0,00%;206.278.208,23;0,08%;0;0,00%;0;0,00%;206.278.208,23;0,18%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;206.278.208,23;0,18%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
São José dos Campos;194.217.466,98;0,08%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;194.217.466,98;0,08%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;194.217.466,98;0,14%;194.217.466,98;0,14%;0;0,00%;0;0,00%;0;0,00%
Goiânia;180.153.030,82;0,07%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;180.153.030,82;0,07%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;180.153.030,82;0,13%;180.153.030,82;0,13%;0;0,00%;0;0,00%;0;0,00%
Canoas;164.387.499,97;0,06%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;164.387.499,97;0,06%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;164.387.499,97;0,12%;164.387.499,97;0,12%;0;0,00%;0;0,00%;0;0,00%
Blumenau;160.442.016,79;0,06%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;160.442.016,79;0,06%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;160.442.016,79;0,11%;160.442.016,79;0,11%;0;0,00%;0;0,00%;0;0,00%
